station_id,fips,state,county_bea,county_name_census,gdp_2024,latitude,longitude,gdp_billions
1,36061,NY,"New York, NY",New York County,1006673239.0,40.776642,-73.970187,1006.673239
2,6037,CA,"Los Angeles, CA",Los Angeles County,1002965029.0,34.196398,-118.261862,1002.965029
3,48201,TX,"Harris, TX",Harris County,592750582.0,29.857273,-95.393037,592.750582
4,17031,IL,"Cook, IL",Cook County,546440623.0,41.894294,-87.645455,546.440623
5,53033,WA,"King, WA",King County,477154354.0,47.490552,-121.833977,477.154354
6,6085,CA,"Santa Clara, CA",Santa Clara County,438483301.0,37.221614,-121.68954,438.483301
7,4013,AZ,"Maricopa, AZ",Maricopa County,419250222.0,33.345176,-112.49893,419.250222
8,48113,TX,"Dallas, TX",Dallas County,389402358.0,32.766987,-96.778424,389.402358
9,6059,CA,"Orange, CA",Orange County,351752654.0,33.675687,-117.777207,351.752654
10,6073,CA,"San Diego, CA",San Diego County,331867565.0,33.023604,-116.776117,331.867565
11,6075,CA,"San Francisco, CA",San Francisco County,268321762.0,37.992429,-122.97439,268.321762
12,12086,FL,"Miami-Dade, FL",Miami-Dade County,260837199.0,25.616009,-80.50375,260.837199
13,13121,GA,"Fulton, GA",Fulton County,243562683.0,33.790034,-84.468182,243.562683
14,25017,MA,"Middlesex, MA",Middlesex County,240665230.0,42.481718,-71.394916,240.66523
15,6081,CA,"San Mateo, CA",San Mateo County,217017754.0,37.414672,-122.371546,217.017754
16,48453,TX,"Travis, TX",Travis County,202653490.0,30.239513,-97.69127,202.65349
17,32003,NV,"Clark, NV",Clark County,195936289.0,36.21413,-115.014398,195.936289
18,27053,MN,"Hennepin, MN",Hennepin County,193617316.0,45.006121,-93.475228,193.617316
19,25025,MA,"Suffolk, MA",Suffolk County,190778332.0,42.338551,-71.018253,190.778332
20,37119,NC,"Mecklenburg, NC",Mecklenburg County,186113840.0,35.246862,-80.833832,186.11384
21,11001,DC,"District of Columbia, DC",District of Columbia,184297673.0,38.904247,-77.016517,184.297673
22,6001,CA,"Alameda, CA",Alameda County,182539223.0,37.647139,-121.912488,182.539223
23,48439,TX,"Tarrant, TX",Tarrant County,178003332.0,32.772119,-97.291224,178.003332
24,12011,FL,"Broward, FL",Broward County,173651328.0,26.193535,-80.476683,173.651328
25,12095,FL,"Orange, FL",Orange County,160399730.0,28.514391,-81.323284,160.39973
26,48029,TX,"Bexar, TX",Bexar County,159588712.0,29.448671,-98.520147,159.588712
27,49035,UT,"Salt Lake, UT",Salt Lake County,153846066.0,40.667883,-111.92424,153.846066
28,12057,FL,"Hillsborough, FL",Hillsborough County,152009857.0,27.893154,-82.379991,152.009857
29,36047,NY,"Kings, NY",Kings County,145934266.0,40.635045,-73.95064,145.934266
30,26125,MI,"Oakland, MI",Oakland County,143144361.0,42.660452,-83.38421,143.144361
